-592, 248, 16592, -233, 481, 228
1080, -3216, 16440, -253, 481, 211
1200, -3040, 16368, -275, 454, 205
632, -128, 17056, -272, 467, 205
168, 32, 17208, -291, 460, 213
-472, -328, 16960, -299, 460, 211
176, -416, 17112, -308, 464, 212
616, -1312, 16728, -331, 485, 212
-168, -1096, 16528, -338, 483, 205
288, -208, 16760, -352, 489, 206
-488, -616, 15472, -368, 505, 201
24, -896, 16632, -376, 514, 222
976, 376, 15376, -404, 546, 210
1040, -896, 16696, -407, 533, 215
-328, -1328, 16968, -389, 541, 240
280, -1192, 16896, -383, 582, 233
232, -1008, 17016, -379, 604, 235
-768, 40, 17576, -355, 624, 248
888, -504, 16264, -343, 649, 242
384, -920, 17264, -323, 646, 235
-208, 832, 16968, -295, 654, 247
80, -80, 17144, -282, 662, 252
760, -792, 16688, -245, 666, 251
-32, -272, 16928, -255, 661, 246
-1528, -680, 17080, -255, 658, 248
808, 3192, 17104, -254, 676, 237
-336, 5736, 16360, -254, 728, 205
776, 7496, 13040, -249, 765, 132
368, 12752, 9016, -264, 794, 37
1344, 16176, 5984, -252, 794, -55
1200, 15656, 2184, -264, 794, -137
2048, 15728, -1520, -264, 771, -230
2136, 16832, 456, -264, 773, -217
1688, 16592, 4848, -261, 790, -103
1280, 13872, 8496, -263, 790, -1
728, 9904, 12896, -255, 772, 116
-1048, 4576, 14928, -245, 732, 173
-456, 1000, 17920, -231, 665, 227
-1328, -4176, 17152, -249, 599, 262
-944, -9600, 13480, -236, 522, 232
-1520, -12784, 9968, -208, 433, 187
-1504, -15592, 8624, -238, 394, 128
-56, -16568, 3424, -239, 343, 37
312, -16576, -392, -245, 307, -63
128, -14560, -3512, -254, 301, -107
984, -17864, -1264, -241, 311, -87
976, -17304, 2256, -275, 322, -22
2128, -16840, 2056, -299, 336, -16
2256, -16176, 1408, -336, 316, -55
3216, -16768, 784, -348, 316, -102
2192, -16200, 320, -371, 319, -120
264, -16584, 88, -370, 318, -168
-152, -16688, 152, -366, 314, -160
1008, -16144, 528, -382, 327, -130
672, -15712, 1616, -356, 335, -65
96, -16496, 2136, -306, 328, -3
-3016, -16400, 3112, -263, 349, 31
-2208, -15368, 4400, -217, 344, 36
-1168, -17456, 3704, -170, 361, 5
-4536, -14360, 3288, -151, 365, -68
-6184, -15640, 2232, -136, 371, -133
-6576, -15568, 24, -138, 363, -218
-4296, -15592, -2440, -179, 357, -288
-5272, -15984, -3856, -194, 349, -318
-4360, -16488, -2360, -189, 349, -293
-6448, -14592, -112, -138, 365, -223
-7880, -14384, 4552, -119, 382, -80
-4616, -12600, 10168, -164, 410, 101
-592, -13640, 9168, -215, 405, 136
-408, -14448, 10216, -235, 397, 133
512, -9304, 13176, -252, 472, 202
2328, -4904, 16432, -273, 582, 246
2592, -704, 15840, -261, 656, 238
880, 8072, 15624, -248, 724, 193
1912, 13176, 11016, -262, 781, 70
1960, 14448, 7160, -266, 806, -26
1392, 16200, 984, -267, 786, -110
1048, 16496, -2176, -267, 760, -227
1648, 15120, -5608, -262, 747, -277
1608, 15176, -3992, -269, 749, -280
2408, 14040, 1880, -275, 786, -155
1128, 16448, 5720, -273, 804, -38
1056, 12008, 10488, -262, 792, 72
-1784, 8792, 14904, -239, 742, 177
-1688, 5008, 15736, -222, 677, 233
400, -4016, 15744, -230, 619, 258
328, -9560, 13432, -255, 510, 248
1456, -12272, 12136, -245, 437, 181
-1136, -14984, 4784, -249, 364, 70
-464, -16464, -752, -239, 330, -40
-1312, -15072, -5064, -236, 311, -137
-2152, -15208, -5792, -227, 299, -166
-1520, -15976, -4384, -239, 314, -112
-512, -19552, 6456, -239, 353, 42
-664, -13464, 11584, -248, 431, 158
72, -8096, 14672, -255, 521, 251
1544, -1680, 16000, -271, 582, 258
1632, -1216, 16184, -258, 632, 261
1296, 3504, 16296, -231, 636, 252
624, 1328, 15760, -230, 658, 246
712, 2688, 16336, -206, 639, 257
-3056, 2080, 15912, -180, 596, 255
-1696, 2056, 17248, -207, 563, 251
-368, 3104, 16672, -206, 541, 242
-1312, 584, 16552, -226, 509, 242
-1656, 2360, 15728, -217, 489, 226
-5776, -1568, 17256, -254, 475, 217
-2944, -3248, 14928, -269, 443, 200
-2656, -1720, 17768, -308, 480, 220
-3552, -4712, 16328, -328, 509, 232
-408, -2144, 16344, -340, 537, 258
-1256, -2480, 16304, -306, 566, 268
-1256, -2200, 18064, -313, 586, 267
-5496, -2456, 18096, -303, 594, 275
-2352, -2624, 16656, -277, 599, 285
-1352, -1440, 17496, -268, 619, 268
-384, -576, 15616, -245, 637, 266
896, 2184, 17712, -229, 673, 250
-816, 4576, 15088, -258, 714, 213
5264, 13216, 12104, -317, 772, 128
7672, 13736, 4392, -345, 793, -31
8608, 13408, -2712, -340, 780, -171
7800, 14304, -5312, -348, 755, -252
6952, 8040, -10224, -340, 709, -358
8096, 7176, -11616, -341, 633, -412
5712, -1680, -14280, -314, 529, -471
4952, -4520, -14104, -294, 442, -453
2056, -12816, -8856, -255, 363, -393
408, -15464, -3344, -225, 331, -223
-1496, -15600, 3624, -174, 341, -56
-3472, -12056, 9888, -165, 382, 77
-3248, -9640, 13584, -174, 466, 178
-1664, -2320, 16632, -180, 541, 235
-4208, 856, 14832, -207, 613, 266
-2504, 2072, 16568, -201, 668, 242
-4176, 4968, 17024, -199, 669, 228
-8448, 6976, 12024, -165, 689, 187
-13848, 6704, 8176, -156, 753, 71
-9728, 13024, 2312, -171, 769, -76
-8984, 9552, -6440, -229, 765, -240
-5008, 13176, -10784, -286, 714, -336
2552, 7768, -14656, -365, 653, -401
2696, 4688, -14320, -407, 596, -412
6728, 1208, -14576, -444, 532, -413
9608, -8928, -11384, -452, 405, -336
7200, -12744, -5152, -380, 315, -191
1648, -17208, 1968, -305, 308, -42
-4352, -15384, 8728, -231, 369, 92
-3344, -12592, 9368, -174, 439, 156
-7400, -9864, 12568, -148, 487, 186
-6144, -7544, 12360, -159, 513, 216
-4208, -5272, 15984, -194, 555, 231
-1104, 0, 16736, -236, 620, 257
552, -928, 17248, -252, 641, 262
632, 2136, 18248, -261, 687, 238
-232, 6912, 15680, -250, 716, 201
-1696, 11568, 15208, -254, 757, 142
-520, 11104, 10328, -271, 796, 48
1248, 14120, 5120, -275, 800, -80
40, 16800, -136, -273, 793, -161
1488, 17312, -1184, -276, 782, -193
1304, 16192, 1112, -278, 788, -156
1624, 15240, 4384, -281, 801, -81
200, 12568, 9880, -280, 800, 57
1696, 8752, 14064, -285, 747, 175
1816, -872, 15912, -264, 657, 257
1440, -6016, 15912, -263, 553, 248
1016, -15776, 12560, -263, 455, 191
360, -15288, 4488, -261, 351, 65
368, -16304, -872, -261, 323, -48
64, -17344, -3696, -252, 293, -162
-1624, -13304, -8920, -253, 320, -238
-1200, -15280, -9120, -254, 314, -265
-640, -15264, -7024, -247, 322, -225
-720, -13112, -2928, -253, 299, -123
368, -13816, 7672, -268, 368, 68
2336, -12216, 15080, -275, 501, 232
2032, -3352, 16304, -297, 599, 260
1352, -456, 17416, -252, 652, 252
