-592,248,16592
1080,-3216,16440
1200,-3040,16368
632,-128,17056
168,32,17208
-472,-328,16960
176,-416,17112
616,-1312,16728
-168,-1096,16528
288,-208,16760
-488,-616,15472
24,-896,16632
976,376,15376
1040,-896,16696
-328,-1328,16968
280,-1192,16896
232,-1008,17016
-768,40,17576
888,-504,16264
384,-920,17264
-208,832,16968
80,-80,17144
760,-792,16688
-32,-272,16928
-1528,-680,17080
808,3192,17104
-336,5736,16360
776,7496,13040
368,12752,9016
1344,16176,5984
1200,15656,2184
2048,15728,-1520
2136,16832,456
1688,16592,4848
1280,13872,8496
728,9904,12896
-1048,4576,14928
-456,1000,17920
-1328,-4176,17152
-944,-9600,13480
-1520,-12784,9968
-1504,-15592,8624
-56,-16568,3424
312,-16576,-392
128,-14560,-3512
984,-17864,-1264
976,-17304,2256
2128,-16840,2056
2256,-16176,1408
3216,-16768,784
2192,-16200,320
264,-16584,88
-152,-16688,152
1008,-16144,528
672,-15712,1616
96,-16496,2136
-3016,-16400,3112
-2208,-15368,4400
-1168,-17456,3704
-4536,-14360,3288
-6184,-15640,2232
-6576,-15568,24
-4296,-15592,-2440
-5272,-15984,-3856
-4360,-16488,-2360
-6448,-14592,-112
-7880,-14384,4552
-4616,-12600,10168
-592,-13640,9168
-408,-14448,10216
512,-9304,13176
2328,-4904,16432
2592,-704,15840
880,8072,15624
1912,13176,11016
1960,14448,7160
1392,16200,984
1048,16496,-2176
1648,15120,-5608
1608,15176,-3992
2408,14040,1880
1128,16448,5720
1056,12008,10488
-1784,8792,14904
-1688,5008,15736
400,-4016,15744
328,-9560,13432
1456,-12272,12136
-1136,-14984,4784
-464,-16464,-752
-1312,-15072,-5064
-2152,-15208,-5792
-1520,-15976,-4384
-512,-19552,6456
-664,-13464,11584
72,-8096,14672
1544,-1680,16000
1632,-1216,16184
1296,3504,16296
624,1328,15760
712,2688,16336
-3056,2080,15912
-1696,2056,17248
-368,3104,16672
-1312,584,16552
-1656,2360,15728
-5776,-1568,17256
-2944,-3248,14928
-2656,-1720,17768
-3552,-4712,16328
-408,-2144,16344
-1256,-2480,16304
-1256,-2200,18064
-5496,-2456,18096
-2352,-2624,16656
-1352,-1440,17496
-384,-576,15616
896,2184,17712
-816,4576,15088
5264,13216,12104
7672,13736,4392
8608,13408,-2712
7800,14304,-5312
6952,8040,-10224
8096,7176,-11616
5712,-1680,-14280
4952,-4520,-14104
2056,-12816,-8856
408,-15464,-3344
-1496,-15600,3624
-3472,-12056,9888
-3248,-9640,13584
-1664,-2320,16632
-4208,856,14832
-2504,2072,16568
-4176,4968,17024
-8448,6976,12024
-13848,6704,8176
-9728,13024,2312
-8984,9552,-6440
-5008,13176,-10784
2552,7768,-14656
2696,4688,-14320
6728,1208,-14576
9608,-8928,-11384
7200,-12744,-5152
1648,-17208,1968
-4352,-15384,8728
-3344,-12592,9368
-7400,-9864,12568
-6144,-7544,12360
-4208,-5272,15984
-1104,0,16736
552,-928,17248
632,2136,18248
-232,6912,15680
-1696,11568,15208
-520,11104,10328
1248,14120,5120
40,16800,-136
1488,17312,-1184
1304,16192,1112
1624,15240,4384
200,12568,9880
1696,8752,14064
1816,-872,15912
1440,-6016,15912
1016,-15776,12560
360,-15288,4488
368,-16304,-872
64,-17344,-3696
-1624,-13304,-8920
-1200,-15280,-9120
-640,-15264,-7024
-720,-13112,-2928
368,-13816,7672
2336,-12216,15080
2032,-3352,16304
1352,-456,17416
-976,3120,16064
3008,7800,13256
2056,14152,9472
-528,14944,888
1408,18368,-4736
1160,13640,-7776
432,14008,-7784
-760,17952,-16352
400,9040,-16472
3616,384,-12744
2576,2288,-19136
-1624,3112,-13768
-1520,2856,-16272
-3944,3672,-15408
-3920,3352,-15208
-3440,2672,-15800
-2592,3152,-16208
-48,2944,-14744
-1672,504,-14840
-2960,3864,-16152
-2080,1696,-15864
-864,-1096,-15992
-1776,-7632,-15240
-1488,-5928,-14248
1456,-7776,-14024
3768,-11992,-13944
5520,-10520,-10488
3944,-6176,-14656
7400,-1584,-14384
5672,6200,-13568
4504,14184,-8760
2576,17128,-3280
-480,14832,3808
-6336,14192,10072
-7248,9488,10792
-5072,6440,14928
-4512,792,17496
192,-7464,16112
688,-10360,13800
336,-15328,8912
-528,-14208,-1864
-480,-16264,5376
1192,-8624,14408
1192,-4064,16152
1144,1728,17072
1320,7976,13024
1000,14552,9856
616,14008,4344
2344,16784,-1696
2328,15840,-2392
264,12888,7440
1408,9064,14432
1248,3656,18680
-264,-1112,16760
-184,1928,17008
272,-920,18184
2184,1360,16016
416,-40,17648
-1072,904,18312
-744,3616,16800
-408,888,16192
-3144,1240,16640
-2904,1424,16480
-2664,848,17240
-2032,1512,15552
-2256,800,16720
-2232,-320,16840
-1832,40,16704
184,-320,17456
-1248,32,16856
-1024,496,16832
-1400,576,16624
-352,1104,16176
-1144,-208,16688
-3808,-224,16264
-1448,128,16408
1984,-2432,16720
-1200,744,16240
-1288,-208,16704
168,-1712,15968
-656,-2920,15592
0,-136,17272
-40,4496,16328
784,11744,12992
328,12464,10000
936,15232,5584
1912,15952,984
248,16592,-1448
896,16128,1752
2160,15656,9120
1744,9264,12416
1632,5944,15664
1536,-216,17528
576,-5344,15512
4448,-7256,17056
-1160,-15856,7096
-352,-17440,2672
-1328,-16224,128
72,-14064,8488
136,-10208,12696
584,-3600,15720
-344,-344,17000
-8456,4416,14952
-12480,7672,8240
-11680,9816,-456
-10888,10152,-4336
-11928,11136,-3600
-12440,9272,4264
-9984,4128,13776
-6832,1952,17440
96,-544,18360
9096,-2008,13488
13568,-6520,6384
13552,-6648,-1344
14216,-7896,-3992
14184,-7872,776
12056,-4440,12096
2416,-3360,15048
-3224,-3800,15568
-4488,-4296,15896
-3832,712,16376
